orderkey,orderstatus,totalprice,clerk,custkey,c_name,c_address,c_phone,c_acctbal,mktsegment,linenumber,quantity,extendedprice,discount,returnflag,linestatus,shipdate,commitdate,shipinstruct,nationkey,n_name,n_comment
1038084.0,O,161299.4,Clerk#000000513,271150.0,nan,nan,nan,nan,nan,1.0,19.0,18601.19,0.07,N,O,1998-04-11,1998-04-04,NONE,nan,nan,nan
109670.0,O,230619.07,Clerk#000000623,665783.0,nan,nan,nan,nan,nan,341064.0,30.0,55557.3,0.03,N,O,1997-05-01,1997-06-20,bxhszhdkhk,nan,nan,nan
1038084.0,O,161299.4,Clerk#000000513,108208.0,nan,nan,nan,nan,nan,1.0,19.0,18601.19,0.07,N,O,1998-04-11,1998-04-04,NONE,nan,nan,nan
1146241.0,O,134044.44,Clerk#000000195,13900.0,nan,nan,nan,nan,nan,6.0,9.0,11964.15,0.08,N,nztcwyohli,1995-09-24,1995-10-27,dwzjkrxqaa,nan,nan,nan
1089415.0,F,110938.22,Clerk#000000795,116599.0,nan,nan,nan,nan,nan,106023.0,323497.0,46441.35,0.01,R,pighhyyrtp,amdnomykle,1995-03-16,aowwatvfrd,nan,nan,nan
1007139.0,vqushmdtks,358407.99,bwxqjxebbj,763381.0,nan,nan,nan,nan,nan,3.0,19.0,35260.39,0.04,N,O,1996-12-16,1997-02-01,TAKE BACK RETURN,nan,nan,nan
1058054.0,O,272371.01,Clerk#000000254,33379.0,nan,nan,nan,nan,nan,2.0,48.0,78697.92,0.04,N,O,1996-06-03,1996-07-29,NONE,nan,nan,nan
1104196.0,F,374003.93,Clerk#000000574,105862.0,nan,nan,nan,nan,nan,6.0,46.0,90890.48,0.05,A,F,1994-05-23,1994-04-16,NONE,nan,nan,nan
1020897.0,O,110830.37,Clerk#000000929,78037.0,nan,nan,nan,nan,nan,1.0,19.0,23772.23,0.01,N,O,1997-06-02,1997-03-15,NONE,nan,nan,nan
1113633.0,wctvyyjyqs,151541.44,haserzmbew,83416.0,nan,nan,nan,nan,nan,1.0,42.0,56127.54,0.04,N,O,1998-03-09,1998-01-29,TAKE BACK RETURN,nan,nan,nan
1020897.0,O,110830.37,vbmttuobgw,679445.0,nan,nan,nan,nan,nan,1.0,19.0,23772.23,0.01,N,O,1997-06-02,1997-03-15,NONE,nan,nan,nan
1073858.0,F,231047.0,Clerk#000000438,22951.0,nan,nan,nan,nan,nan,1.0,924479.0,27972.6,0.01,A,gilphbqfnv,1995-04-15,1995-03-24,COLLECT COD,nan,nan,nan
1089415.0,F,110938.22,Clerk#000000795,116599.0,nan,nan,nan,nan,nan,1.0,45.0,46441.35,0.01,R,F,1995-04-05,1995-03-16,NONE,nan,nan,nan
1058054.0,iplkvxnxsa,272371.01,rwnwiojxkm,802155.0,nan,nan,nan,nan,nan,2.0,48.0,78697.92,0.04,N,O,1996-06-03,1996-07-29,NONE,nan,nan,nan
1141894.0,F,186473.72,Clerk#000000761,55352.0,nan,nan,nan,nan,nan,7.0,14.0,13818.84,0.09,A,F,1992-01-10,1992-04-07,NONE,nan,nan,nan
1089415.0,rxswjobsvx,110938.22,goqqzseonk,116599.0,nan,nan,nan,nan,nan,1.0,45.0,46441.35,0.01,R,F,1995-04-05,1995-03-16,NONE,nan,nan,nan
1159876.0,F,76167.75,Clerk#000000362,113059.0,nan,nan,nan,nan,nan,2.0,404281.0,36289.81,903054.0198200092,A,F,xzasofgoqs,1993-01-13,NONE,nan,nan,nan
1055268.0,O,86937.85,Clerk#000000409,25453.0,nan,nan,nan,nan,nan,3.0,19.0,27157.65,0.02,N,O,1997-10-12,1997-08-29,NONE,nan,nan,nan
1146241.0,wenezsxvsw,134044.44,gqpqvwsogr,322713.0,nan,nan,nan,nan,nan,6.0,9.0,11964.15,0.08,N,nztcwyohli,1995-09-24,1995-10-27,dwzjkrxqaa,nan,nan,nan
1108420.0,F,121139.03,Clerk#000000329,23989.0,nan,nan,nan,nan,nan,2.0,49.0,72734.62,0.01,R,F,1992-09-03,1992-07-11,COLLECT COD,nan,nan,nan
1153025.0,sgoljuuzyw,110607.7,rxywtzejgq,33782.0,nan,nan,nan,nan,nan,5.0,16.0,24728.96,0.05,A,F,1993-12-31,1994-02-19,NONE,nan,nan,nan
1014279.0,F,144789.53,Clerk#000000181,58948.0,nan,nan,nan,nan,nan,5.0,3.0,5738.7,0.01,A,F,1994-10-24,1994-11-09,DELIVER IN PERSON,nan,nan,nan
109670.0,O,230619.07,Clerk#000000623,54892.0,nan,nan,nan,nan,nan,341064.0,30.0,55557.3,0.03,N,O,1997-05-01,1997-06-20,bxhszhdkhk,nan,nan,nan
1159876.0,F,76167.75,Clerk#000000362,113059.0,nan,nan,nan,nan,nan,2.0,19.0,36289.81,0.02,A,F,1993-01-13,1993-01-13,NONE,nan,nan,nan
104834.0,F,213637.38,Clerk#000000751,110020.0,nan,nan,nan,nan,nan,6.0,29.0,47026.69,0.06,A,F,1994-09-04,1994-08-27,NONE,nan,nan,nan
1089415.0,rxswjobsvx,110938.22,goqqzseonk,116599.0,nan,nan,nan,nan,nan,106023.0,323497.0,46441.35,0.01,R,pighhyyrtp,amdnomykle,1995-03-16,aowwatvfrd,nan,nan,nan
1077924.0,F,184831.19,Clerk#000000477,110851.0,nan,nan,nan,nan,nan,3.0,50.0,57207.5,0.04,R,F,1992-07-20,1992-08-22,TAKE BACK RETURN,nan,nan,nan
1146241.0,O,134044.44,Clerk#000000195,13900.0,nan,nan,nan,nan,nan,6.0,9.0,11964.15,0.08,N,O,1995-09-24,1995-10-27,DELIVER IN PERSON,nan,nan,nan
109670.0,O,230619.07,Clerk#000000623,54892.0,nan,nan,nan,nan,nan,3.0,30.0,55557.3,0.03,N,O,1997-05-01,1997-06-20,DELIVER IN PERSON,nan,nan,nan
1104196.0,F,374003.93,Clerk#000000574,105862.0,nan,nan,nan,nan,nan,499903.0,546282.0,90890.48,420511.5505242524,A,beaztcszea,ouvbsjnozl,1994-04-16,fzmboccmbp,nan,nan,nan
1007139.0,vqushmdtks,358407.99,bwxqjxebbj,763381.0,nan,nan,nan,nan,nan,3.0,19.0,35260.39,0.04,N,maangimpej,1996-12-16,1997-02-01,bbkmtjqlzv,nan,nan,nan
100993.0,F,381510.53,Clerk#000000949,99631.0,nan,nan,nan,nan,nan,7.0,46.0,63865.94,0.0,R,F,1993-06-28,1993-09-09,DELIVER IN PERSON,nan,nan,nan
1072995.0,O,168118.98,Clerk#000000064,91615.0,nan,nan,nan,nan,nan,1.0,1.0,1937.84,0.09,N,O,1997-05-31,1997-06-16,DELIVER IN PERSON,nan,nan,nan
1016548.0,O,267636.19,rddcnwjmmg,122395.0,nan,nan,nan,nan,nan,2.0,46.0,87077.54,0.02,N,O,1997-03-28,1997-01-17,NONE,nan,nan,nan
1016548.0,O,267636.19,Clerk#000000862,122395.0,nan,nan,nan,nan,nan,2.0,46.0,87077.54,0.02,N,O,1997-03-28,1997-01-17,NONE,nan,nan,nan
1058054.0,O,272371.01,Clerk#000000254,33379.0,nan,nan,nan,nan,nan,2.0,48.0,78697.92,0.04,xtbenqtavp,ykgcwkiyuk,1996-06-03,1996-07-29,dmbnxipjhl,nan,nan,nan
1058054.0,iplkvxnxsa,272371.01,rwnwiojxkm,802155.0,nan,nan,nan,nan,nan,2.0,48.0,78697.92,0.04,xtbenqtavp,ykgcwkiyuk,1996-06-03,1996-07-29,dmbnxipjhl,nan,nan,nan
1016548.0,O,267636.19,Clerk#000000862,122395.0,nan,nan,nan,nan,nan,2.0,46.0,87077.54,0.02,nfdslmdrfs,O,1997-03-28,azqwvbdpni,NONE,nan,nan,nan
1032672.0,O,164010.64,Clerk#000000799,52255.0,nan,nan,nan,nan,nan,1.0,27.0,28811.97,0.09,N,O,1998-06-05,1998-07-18,NONE,nan,nan,nan
1016548.0,O,267636.19,rddcnwjmmg,122395.0,nan,nan,nan,nan,nan,2.0,46.0,87077.54,0.02,nfdslmdrfs,O,1997-03-28,azqwvbdpni,NONE,nan,nan,nan
1108420.0,F,121139.03,Clerk#000000329,421997.0,nan,nan,nan,nan,nan,2.0,49.0,72734.62,0.01,R,F,1992-09-03,1992-07-11,COLLECT COD,nan,nan,nan
1113633.0,O,151541.44,Clerk#000000927,83416.0,nan,nan,nan,nan,nan,1.0,42.0,56127.54,0.04,N,O,1998-03-09,1998-01-29,TAKE BACK RETURN,nan,nan,nan
1062532.0,F,331376.68,Clerk#000000540,138215.0,nan,nan,nan,nan,nan,3.0,15.0,nan,0.02,A,F,1992-05-20,1992-04-14,COLLECT COD,nan,nan,nan
1062532.0,F,331376.68,grikyjpiyb,718877.0,nan,nan,nan,nan,nan,3.0,15.0,nan,0.02,A,F,1992-05-20,1992-04-14,COLLECT COD,nan,nan,nan
1070659.0,dninyjpnrm,172617.32,Clerk#000000328,1324.0,nan,nan,nan,nan,nan,3.0,45.0,nan,0.02,R,F,1994-05-21,1994-07-20,NONE,nan,nan,nan
1070659.0,F,172617.32,Clerk#000000328,1324.0,nan,nan,nan,nan,nan,3.0,45.0,nan,0.02,R,F,1994-05-21,1994-07-20,NONE,nan,nan,nan
1055815.0,O,358976.05,Clerk#000000852,36445.0,nan,nan,nan,nan,nan,6.0,39.0,nan,nan,N,O,1996-02-14,1996-04-09,NONE,nan,nan,nan
1143332.0,O,138235.07,Clerk#000000683,237394.0,nan,nan,nan,nan,nan,2.0,18.0,nan,nan,N,O,1997-01-24,1997-01-18,TAKE BACK RETURN,nan,nan,nan
1157316.0,O,219759.11,Clerk#000000095,35650.0,nan,nan,nan,nan,nan,3.0,11.0,nan,nan,N,O,1997-09-25,1997-11-01,COLLECT COD,nan,nan,nan
1143332.0,O,138235.07,Clerk#000000683,76426.0,nan,nan,nan,nan,nan,2.0,18.0,nan,nan,N,O,1997-01-24,1997-01-18,TAKE BACK RETURN,nan,nan,nan
1146241.0,O,134044.44,Clerk#000000195,13900.0,nan,nan,nan,nan,nan,2.0,nan,nan,0.08,N,O,1995-08-23,1995-09-22,NONE,nan,nan,nan
116417.0,F,138983.71,Clerk#000000337,41174.0,nan,nan,nan,nan,nan,2.0,nan,nan,0.08,A,F,1994-02-21,1994-02-25,NONE,nan,nan,nan
1134946.0,F,143833.59,Clerk#000000789,85291.0,nan,nan,nan,nan,nan,1.0,nan,nan,0.09,R,F,1995-03-18,1995-06-06,DELIVER IN PERSON,nan,nan,nan
1134946.0,brwibhqpxh,143833.59,Clerk#000000789,85291.0,nan,nan,nan,nan,nan,1.0,nan,nan,0.09,R,F,1995-03-18,1995-06-06,DELIVER IN PERSON,nan,nan,nan
1146241.0,wenezsxvsw,134044.44,gqpqvwsogr,322713.0,nan,nan,nan,nan,nan,2.0,nan,nan,0.08,N,O,1995-08-23,1995-09-22,NONE,nan,nan,nan
1009826.0,F,4877.92,Clerk#000000400,32917.0,nan,nan,nan,nan,nan,1.0,nan,nan,0.07,A,F,1995-06-04,1995-03-25,COLLECT COD,nan,nan,nan
1074149.0,O,94485.99,Clerk#000000333,89773.0,nan,nan,nan,nan,nan,nan,24.0,nan,0.03,N,O,1995-11-27,1995-12-25,NONE,nan,nan,nan
1074149.0,jimmxbjpxx,94485.99,oovikamluk,751475.0,nan,nan,nan,nan,nan,nan,24.0,nan,0.03,N,O,1995-11-27,1995-12-25,NONE,nan,nan,nan
1034405.0,O,405596.16,Clerk#000000131,19271.0,nan,nan,nan,nan,nan,nan,44.0,nan,0.03,N,O,1995-12-05,1995-12-24,NONE,nan,nan,nan
1034405.0,bfmtbzsgjr,405596.16,Clerk#000000131,19271.0,nan,nan,nan,nan,nan,nan,44.0,nan,0.03,N,O,1995-12-05,1995-12-24,NONE,nan,nan,nan
1127458.0,P,151737.35,Clerk#000000149,133778.0,nan,nan,nan,nan,nan,nan,1.0,nan,0.06,A,F,1995-05-21,1995-07-07,DELIVER IN PERSON,nan,nan,nan
1145957.0,O,195863.41,Clerk#000000008,99577.0,nan,nan,nan,nan,nan,4.0,32.0,nan,0.05,N,nan,1996-10-05,1996-10-28,NONE,nan,nan,nan
1080227.0,P,114843.82,Clerk#000000651,10921.0,nan,nan,nan,nan,nan,3.0,45.0,nan,0.03,N,nan,1995-06-19,1995-05-25,TAKE BACK RETURN,nan,nan,nan
1169958.0,O,128938.81,Clerk#000000181,132790.0,nan,nan,nan,nan,nan,4.0,35.0,nan,0.05,N,nan,1996-05-16,1996-07-06,COLLECT COD,nan,nan,nan
1080227.0,psfdpnyopm,114843.82,itkrxzhmfc,366995.0,nan,nan,nan,nan,nan,3.0,45.0,nan,0.03,N,nan,1995-06-19,1995-05-25,TAKE BACK RETURN,nan,nan,nan
1145957.0,bctfdxusuw,195863.41,khlyzpnrfr,507224.0,nan,nan,nan,nan,nan,4.0,32.0,nan,0.05,N,nan,1996-10-05,1996-10-28,NONE,nan,nan,nan
1013700.0,O,221732.3,Clerk#000000297,95959.0,nan,nan,nan,nan,nan,4.0,28.0,nan,0.0,N,nan,1996-07-09,1996-05-11,NONE,nan,nan,nan
1086272.0,F,182944.94,oaqhprwqbw,637895.0,nan,nan,nan,nan,nan,1.0,5.0,nan,0.06,R,F,nan,1993-06-16,TAKE BACK RETURN,nan,nan,nan
1086272.0,F,182944.94,Clerk#000000143,91471.0,nan,nan,nan,nan,nan,1.0,5.0,nan,0.06,R,F,nan,1993-06-16,TAKE BACK RETURN,nan,nan,nan
1114690.0,O,143891.35,Clerk#000000433,72667.0,nan,nan,nan,nan,nan,2.0,41.0,nan,0.08,N,O,nan,1998-04-07,COLLECT COD,nan,nan,nan
1089632.0,F,135149.27,qxnrkavzpr,19354.0,nan,nan,nan,nan,nan,2.0,18.0,nan,0.05,R,F,nan,1992-12-06,COLLECT COD,nan,nan,nan
1089632.0,F,135149.27,Clerk#000000382,19354.0,nan,nan,nan,nan,nan,2.0,18.0,nan,0.05,R,F,nan,1992-12-06,COLLECT COD,nan,nan,nan
1114690.0,wqpznnjlzz,143891.35,tvrwdzybhs,352888.0,nan,nan,nan,nan,nan,2.0,41.0,nan,0.08,N,O,nan,1998-04-07,COLLECT COD,nan,nan,nan
1006497.0,F,177766.67,Clerk#000000693,15500.0,nan,nan,nan,nan,nan,3.0,42.0,nan,0.07,R,F,nan,1993-01-20,DELIVER IN PERSON,nan,nan,nan
1160768.0,O,294951.98,Clerk#000000594,70345.0,nan,nan,nan,nan,nan,7.0,41.0,nan,0.07,N,O,1997-04-19,1997-05-06,nan,nan,nan,nan
1141026.0,F,179303.19,Clerk#000000896,86926.0,nan,nan,nan,nan,nan,1.0,6.0,nan,0.01,R,F,1995-02-11,1994-12-31,nan,nan,nan,nan
1169924.0,F,229205.28,Clerk#000000848,116523.0,nan,nan,nan,nan,nan,5.0,3.0,nan,0.1,R,F,1993-03-26,1993-04-25,nan,nan,nan,nan
1005892.0,thyfasozke,209965.17,ujkuehvnxf,778771.0,nan,nan,nan,nan,nan,1.0,46.0,nan,0.0,N,O,1998-03-15,1998-02-07,nan,nan,nan,nan
1141026.0,ammxsnrsgz,179303.19,Clerk#000000896,490688.0,nan,nan,nan,nan,nan,1.0,6.0,nan,0.01,R,F,1995-02-11,1994-12-31,nan,nan,nan,nan
1005892.0,O,209965.17,Clerk#000000566,80746.0,nan,nan,nan,nan,nan,1.0,46.0,nan,0.0,N,O,1998-03-15,1998-02-07,nan,nan,nan,nan
1169924.0,F,229205.28,Clerk#000000848,11359.0,nan,nan,nan,nan,nan,5.0,3.0,nan,0.1,R,F,1993-03-26,1993-04-25,nan,nan,nan,nan
1115045.0,F,146223.87,Clerk#000000360,67945.0,nan,nan,nan,nan,nan,1.0,19.0,nan,0.06,nan,F,1994-11-08,1994-10-20,DELIVER IN PERSON,nan,nan,nan
1030849.0,O,258328.02,Clerk#000000808,97111.0,nan,nan,nan,nan,nan,2.0,38.0,nan,0.0,nan,O,1998-01-25,1997-12-14,TAKE BACK RETURN,nan,nan,nan
1115045.0,atpjgnhiou,146223.87,Clerk#000000360,67945.0,nan,nan,nan,nan,nan,1.0,19.0,nan,0.06,nan,F,1994-11-08,1994-10-20,DELIVER IN PERSON,nan,nan,nan
1031232.0,O,249261.1,Clerk#000000651,93179.0,nan,nan,nan,nan,nan,3.0,48.0,nan,0.07,nan,O,1995-09-08,1995-09-10,TAKE BACK RETURN,nan,nan,nan
1139623.0,O,137820.9,Clerk#000000740,101941.0,nan,nan,nan,nan,nan,5.0,1.0,nan,0.05,nan,O,1996-02-19,1996-04-04,COLLECT COD,nan,nan,nan
1050528.0,F,209819.1,Clerk#000000614,68773.0,nan,nan,nan,nan,nan,4.0,22.0,nan,0.09,nan,F,1992-09-13,1992-09-28,TAKE BACK RETURN,nan,nan,nan
1020032.0,xrophzjkwl,164717.03,Clerk#000000040,93227.0,nan,nan,nan,nan,nan,4.0,19.0,nan,0.0,A,F,1992-09-17,nan,NONE,nan,nan,nan
1141920.0,O,244327.19,Clerk#000000920,15169.0,nan,nan,nan,nan,nan,3.0,1.0,nan,0.08,N,O,1996-10-16,nan,DELIVER IN PERSON,nan,nan,nan
1020032.0,F,164717.03,Clerk#000000040,93227.0,nan,nan,nan,nan,nan,4.0,19.0,nan,0.0,A,F,1992-09-17,nan,NONE,nan,nan,nan
108000.0,F,170292.68,Clerk#000000371,60892.0,nan,nan,nan,nan,nan,nan,26.0,nan,0.07,nan,F,1995-05-11,1995-03-08,NONE,nan,nan,nan
108000.0,dapexpddmy,170292.68,Clerk#000000371,60892.0,nan,nan,nan,nan,nan,nan,26.0,nan,0.07,nan,F,1995-05-11,1995-03-08,NONE,nan,nan,nan
103203.0,O,252920.35,Clerk#000000442,19378.0,nan,nan,nan,nan,nan,nan,45.0,nan,0.02,nan,O,1995-10-17,1995-09-17,NONE,nan,nan,nan
1128576.0,oixoyfrtuy,287354.0,Clerk#000000358,72340.0,nan,nan,nan,nan,nan,nan,34.0,nan,0.01,nan,O,1998-10-20,1998-09-12,DELIVER IN PERSON,nan,nan,nan
103203.0,uvnycwkhzf,252920.35,hwppewtvwf,19378.0,nan,nan,nan,nan,nan,nan,45.0,nan,0.02,nan,O,1995-10-17,1995-09-17,NONE,nan,nan,nan
1107841.0,O,222721.29,Clerk#000000733,49859.0,nan,nan,nan,nan,nan,nan,7.0,nan,0.02,nan,O,1996-07-23,1996-05-29,TAKE BACK RETURN,nan,nan,nan
1103079.0,O,102039.57,Clerk#000000001,105760.0,nan,nan,nan,nan,nan,nan,17.0,nan,0.07,nan,O,1995-10-01,1995-07-28,DELIVER IN PERSON,nan,nan,nan
1107841.0,qmrbcazccm,222721.29,rjgtbwdvel,217880.0,nan,nan,nan,nan,nan,nan,7.0,nan,0.02,nan,O,1996-07-23,1996-05-29,TAKE BACK RETURN,nan,nan,nan
1128576.0,O,287354.0,Clerk#000000358,72340.0,nan,nan,nan,nan,nan,nan,34.0,nan,0.01,nan,O,1998-10-20,1998-09-12,DELIVER IN PERSON,nan,nan,nan
1055621.0,wwblnmvvrl,324785.2,Clerk#000000668,148750.0,nan,nan,nan,nan,nan,1.0,45.0,nan,0.04,R,F,1993-09-14,nan,nan,nan,nan,nan
1118466.0,F,341563.05,oqumantrot,60958.0,nan,nan,nan,nan,nan,2.0,45.0,nan,0.0,R,F,1994-11-04,nan,nan,nan,nan,nan
1118466.0,F,341563.05,Clerk#000000096,60958.0,nan,nan,nan,nan,nan,2.0,45.0,nan,0.0,R,F,1994-11-04,nan,nan,nan,nan,nan
1055621.0,wwblnmvvrl,324785.2,Clerk#000000668,148750.0,nan,nan,nan,nan,nan,6.0,48.0,nan,0.05,A,F,1993-11-20,nan,nan,nan,nan,nan
1128576.0,O,287354.0,Clerk#000000358,72340.0,nan,nan,nan,nan,nan,6.0,29.0,nan,0.09,N,O,1998-10-13,nan,nan,nan,nan,nan
1083301.0,F,305796.27,Clerk#000000229,96835.0,nan,nan,nan,nan,nan,4.0,36.0,nan,0.03,A,F,1994-08-09,nan,nan,nan,nan,nan
1055621.0,F,324785.2,Clerk#000000668,148750.0,nan,nan,nan,nan,nan,1.0,45.0,nan,0.04,R,F,1993-09-14,nan,nan,nan,nan,nan
1055621.0,F,324785.2,Clerk#000000668,148750.0,nan,nan,nan,nan,nan,6.0,48.0,nan,0.05,A,F,1993-11-20,nan,nan,nan,nan,nan
1128576.0,oixoyfrtuy,287354.0,Clerk#000000358,72340.0,nan,nan,nan,nan,nan,6.0,29.0,nan,0.09,N,O,1998-10-13,nan,nan,nan,nan,nan
1071558.0,O,306649.49,Clerk#000000672,93877.0,nan,nan,nan,nan,nan,4.0,40.0,nan,0.04,N,O,1997-05-05,nan,nan,nan,nan,nan
1157316.0,O,219759.11,Clerk#000000095,35650.0,nan,nan,nan,nan,nan,1.0,22.0,nan,0.0,N,O,nan,1997-10-17,nan,nan,nan,nan
1117697.0,F,304065.98,Clerk#000000298,149290.0,nan,nan,nan,nan,nan,3.0,34.0,nan,0.07,A,F,nan,1992-08-03,nan,nan,nan,nan
1117697.0,hdfwoovyyl,304065.98,vmxsfkrfec,149290.0,nan,nan,nan,nan,nan,3.0,34.0,nan,0.07,A,F,nan,1992-08-03,nan,nan,nan,nan
1058598.0,P,226949.62,Clerk#000000577,97910.0,nan,nan,nan,nan,nan,6.0,nan,nan,0.02,nan,O,1995-06-23,1995-07-07,COLLECT COD,nan,nan,nan
1058598.0,qcyhgsakdw,226949.62,Clerk#000000577,422812.0,nan,nan,nan,nan,nan,6.0,nan,nan,0.02,nan,O,1995-06-23,1995-07-07,COLLECT COD,nan,nan,nan
1012867.0,O,112763.01,Clerk#000000007,13192.0,nan,nan,nan,nan,nan,1.0,nan,nan,0.09,nan,O,1998-05-19,1998-04-28,TAKE BACK RETURN,nan,nan,nan
1067877.0,O,250316.38,Clerk#000000818,40700.0,nan,nan,nan,nan,nan,4.0,nan,nan,0.1,nan,O,1996-06-11,1996-06-22,NONE,nan,nan,nan
1040865.0,F,329923.05,Clerk#000000476,142003.0,nan,nan,nan,nan,nan,4.0,nan,nan,0.04,nan,F,1994-12-04,1994-12-12,TAKE BACK RETURN,nan,nan,nan
1012867.0,O,112763.01,rziylrzddz,679068.0,nan,nan,nan,nan,nan,1.0,nan,nan,0.09,nan,O,1998-05-19,1998-04-28,TAKE BACK RETURN,nan,nan,nan
1156996.0,O,169579.56,Clerk#000000217,135766.0,nan,nan,nan,nan,nan,4.0,nan,nan,0.02,nan,O,1997-04-17,1997-06-14,NONE,nan,nan,nan
1020998.0,blgdveegkz,245617.01,Clerk#000000919,763502.0,nan,nan,nan,nan,nan,nan,24.0,nan,0.03,R,nan,1993-11-22,1993-10-04,DELIVER IN PERSON,nan,nan,nan
1001024.0,F,334614.37,Clerk#000000015,15793.0,nan,nan,nan,nan,nan,nan,48.0,nan,0.01,R,nan,1992-08-28,1992-09-21,TAKE BACK RETURN,nan,nan,nan
1050821.0,F,135345.39,Clerk#000000391,30220.0,nan,nan,nan,nan,nan,nan,4.0,nan,0.1,R,nan,1993-09-01,1993-09-05,NONE,nan,nan,nan
1020998.0,F,245617.01,Clerk#000000919,661.0,nan,nan,nan,nan,nan,nan,24.0,nan,0.03,R,nan,1993-11-22,1993-10-04,DELIVER IN PERSON,nan,nan,nan
1111362.0,F,161885.34,Clerk#000000242,73685.0,nan,nan,nan,nan,nan,4.0,14.0,nan,nan,A,nan,1992-07-21,1992-08-05,COLLECT COD,nan,nan,nan
1111362.0,F,161885.34,Clerk#000000242,112829.0,nan,nan,nan,nan,nan,4.0,14.0,nan,nan,A,nan,1992-07-21,1992-08-05,COLLECT COD,nan,nan,nan
