orderkey,orderstatus,totalprice,clerk,custkey,c_name,c_address,c_phone,c_acctbal,mktsegment,linenumber,quantity,extendedprice,discount,returnflag,linestatus,shipdate,commitdate,shipinstruct,nationkey,n_name,n_comment
1179719.0,O,231025.38,Clerk#000000507,136702.0,,,,,,,,,,N,,,1995-12-29,TAKE BACK RETURN,,,
1104224.0,F,212302.71,Clerk#000000740,,,,,,,5.0,21.0,,,A,,1995-03-07,1995-02-26,NONE,,,
1009826.0,F,4877.92,Clerk#000000400,32917.0,,,,,,,,,,,,,,,,,
1076899.0,F,184063.4,Clerk#000000493,,,,,,,,25.0,,0.09,,F,,,TAKE BACK RETURN,,,
1088838.0,O,196672.4,Clerk#000000202,20432.0,,,,,,2.0,40.0,,0.1,,,1996-03-25,1996-01-30,NONE,,,
1055107.0,F,192607.57,Clerk#000000412,,,,,,,,,,,R,,1992-08-24,,,,,
112960.0,O,287364.14,Clerk#000000177,116090.0,,,,,,3.0,,,0.04,N,O,,,,,,
1087843.0,F,143515.65,Clerk#000000806,76205.0,,,,,,3.0,,,0.01,A,,,1992-04-10,COLLECT COD,,,
1050528.0,F,209819.1,Clerk#000000614,68773.0,,,,,,1.0,50.0,,,,,1992-08-15,1992-09-19,,,,
1087843.0,F,143515.65,Clerk#000000806,76205.0,,,,,,,,,0.06,A,,1992-06-06,,COLLECT COD,,,
1087046.0,O,226448.4,Clerk#000000969,51902.0,,,,,,2.0,,,,N,O,,,,,,
1025474.0,F,162793.07,Clerk#000000991,103744.0,,,,,,,29.0,,0.0,A,F,,1995-01-27,TAKE BACK RETURN,,,
10466.0,F,136927.89,Clerk#000000899,61411.0,,,,,,1.0,,,,,F,1993-03-13,1993-02-25,COLLECT COD,,,
1112038.0,F,113382.71,Clerk#000000002,149740.0,,,,,,,,,,,,,,,,,
1047424.0,O,157530.16,Clerk#000000638,,,,,,,,,,,,,,,,,,
1104224.0,F,212302.71,Clerk#000000740,8614.0,,,,,,5.0,21.0,,,A,,1995-03-07,1995-02-26,NONE,,,
1121730.0,O,76187.68,Clerk#000000116,,,,,,,,,,,,,,,,,,
109153.0,F,59900.0,Clerk#000000853,67681.0,,,,,,,,,0.02,,F,1994-02-21,1994-02-17,COLLECT COD,,,
1055587.0,F,93106.62,Clerk#000000631,62560.0,,,,,,,,,,,,,,,,,
1101573.0,F,108787.79,Clerk#000000793,,,,,,,,,,,,,,,,,,
1093031.0,F,305874.46,Clerk#000000815,105790.0,,,,,,,,,0.06,,F,1993-07-24,,,,,
1013700.0,O,221732.3,Clerk#000000297,,,,,,,2.0,44.0,,,,,,1996-07-04,,,,
1055815.0,O,358976.05,Clerk#000000852,,,,,,,6.0,39.0,,,N,O,1996-02-14,1996-04-09,NONE,,,
1145957.0,O,195863.41,Clerk#000000008,,,,,,,4.0,32.0,,0.05,N,,1996-10-05,1996-10-28,NONE,,,
1106437.0,O,264171.97,Clerk#000000700,,,,,,,5.0,,,,,,,,,,,
1156391.0,O,37046.32,Clerk#000000619,73205.0,,,,,,,,,,,,,,,,,
1062432.0,O,143177.54,Clerk#000000119,132931.0,,,,,,,,,,,,,,,,,
1027105.0,P,162954.37,Clerk#000000796,,,,,,,,24.0,,,A,F,1995-04-21,,,,,
1048290.0,O,179197.13,Clerk#000000155,,,,,,,,8.0,,,,O,,,,,,
1009888.0,O,53132.76,Clerk#000000581,,,,,,,2.0,14.0,,0.06,,O,1995-10-27,,,,,
1064193.0,O,41190.32,Clerk#000000786,,,,,,,,,,,,,,,,,,
1179078.0,O,88318.81,Clerk#000000003,65221.0,,,,,,2.0,,,0.09,,,1998-06-30,,TAKE BACK RETURN,,,
1126211.0,F,280143.54,Clerk#000000943,118577.0,,,,,,2.0,40.0,,,A,,,1994-06-24,,,,
1120582.0,O,154491.91,Clerk#000000980,,,,,,,,33.0,,,N,,1995-07-22,1995-08-18,DELIVER IN PERSON,,,
1005572.0,O,24383.65,Clerk#000000144,131588.0,,,,,,,,,,,,,,,,,
108645.0,O,85358.53,Clerk#000000703,,,,,,,1.0,32.0,,0.02,,O,1998-06-02,,TAKE BACK RETURN,,,
1158598.0,F,152237.79,Clerk#000000087,,,,,,,,,,,,,,,,,,
1168326.0,F,214401.83,Clerk#000000301,88816.0,,,,,,,,,0.05,,F,,,,,,
1164000.0,O,193863.07,Clerk#000000022,,,,,,,,,,,,O,,1997-04-12,,,,
1176228.0,O,78350.17,Clerk#000000806,,,,,,,,,,,,,,,,,,
1117344.0,O,131448.91,Clerk#000000724,79142.0,,,,,,,,,,,,,,,,,
1118116.0,F,92238.15,Clerk#000000072,76280.0,,,,,,,,,0.06,A,,1994-02-25,1994-03-26,,,,
1027781.0,F,168782.06,Clerk#000000353,104525.0,,,,,,,,,,,,,,,,,
1091329.0,F,52782.72,Clerk#000000526,60244.0,,,,,,,,,,,,,,,,,
1176646.0,F,43906.08,Clerk#000000915,,,,,,,,,,,,,,,,,,
1098304.0,F,67767.12,Clerk#000000212,,,,,,,,,,0.05,,,1994-09-12,,COLLECT COD,,,
1005892.0,O,209965.17,Clerk#000000566,,,,,,,7.0,,,0.0,N,,,,NONE,,,
1103079.0,O,102039.57,Clerk#000000001,105760.0,,,,,,,17.0,,0.07,,O,1995-10-01,1995-07-28,DELIVER IN PERSON,,,
1054947.0,O,106095.63,Clerk#000000551,,,,,,,,,,,N,,,1996-07-21,,,,
1049666.0,P,166200.6,Clerk#000000234,33919.0,,,,,,3.0,45.0,,0.0,,F,1995-06-03,1995-07-06,,,,
1165926.0,O,204532.53,Clerk#000000625,18985.0,,,,,,,,,,,,,,,,,
1055107.0,F,192607.57,Clerk#000000412,127589.0,,,,,,,,,,R,,1992-08-24,,,,,
1011778.0,F,286468.77,Clerk#000000144,,,,,,,2.0,48.0,,,,F,,,,,,
1179746.0,O,218497.01,Clerk#000000818,75154.0,,,,,,,,,,,,,,,,,
1141920.0,O,244327.19,Clerk#000000920,,,,,,,7.0,47.0,,,,,,1996-10-10,,,,
1100451.0,F,334168.43,Clerk#000000518,139531.0,,,,,,3.0,18.0,,0.0,,,,1992-10-14,,,,
1032069.0,P,250696.63,Clerk#000000442,12662.0,,,,,,4.0,,,0.02,R,F,1995-05-05,1995-07-14,,,,
1177889.0,O,351223.91,Clerk#000000515,63350.0,,,,,,,32.0,,,,O,1997-11-21,,,,,
114276.0,F,184620.12,Clerk#000000992,,,,,,,,,,0.0,,,1994-06-14,,COLLECT COD,,,
1009765.0,O,203200.67,Clerk#000000044,,,,,,,,22.0,,,,O,,1997-10-08,,,,
1158307.0,O,105227.54,Clerk#000000760,,,,,,,,,,,,,,,,,,
1170370.0,F,97105.85,Clerk#000000699,17083.0,,,,,,,,,,,,,,,,,
1001987.0,F,172648.36,Clerk#000000871,,,,,,,5.0,,,,,,,1992-09-24,,,,
1009765.0,O,203200.67,Clerk#000000044,,,,,,,,,,0.09,,,1997-08-22,1997-09-25,,,,
1077797.0,F,214020.32,Clerk#000000128,,,,,,,6.0,,,,,F,1992-12-29,,TAKE BACK RETURN,,,
1077601.0,O,71785.91,Clerk#000000094,,,,,,,2.0,,,0.02,N,,,,,,,
1012992.0,O,16964.1,Clerk#000000683,70804.0,,,,,,,,,,,,,,,,,
1142881.0,F,120634.6,Clerk#000000244,101401.0,,,,,,,,,0.07,R,F,1993-10-28,1993-08-21,,,,
1145984.0,O,225369.26,Clerk#000000568,40586.0,,,,,,,22.0,,0.1,N,,,,DELIVER IN PERSON,,,
1044482.0,F,60357.07,Clerk#000000441,,,,,,,1.0,,,,R,,,,TAKE BACK RETURN,,,
1164098.0,O,125069.32,Clerk#000000440,65155.0,,,,,,,,,,,,,,,,,
1115682.0,O,178179.94,Clerk#000000734,33391.0,,,,,,,13.0,,0.04,N,O,1996-08-01,,DELIVER IN PERSON,,,
1019297.0,O,173375.3,Clerk#000000090,,,,,,,,,,,,,,,,,,
1172801.0,F,13882.64,Clerk#000000296,,,,,,,,,,,,,,,,,,
1120582.0,O,154491.91,Clerk#000000980,75019.0,,,,,,,,,,,,,,,,,
1034627.0,F,216288.52,Clerk#000000007,,,,,,,,39.0,,0.07,,F,1993-08-19,,DELIVER IN PERSON,,,
108870.0,F,176155.5,Clerk#000000342,,,,,,,5.0,,,0.07,,F,,1994-01-14,NONE,,,
1146149.0,F,145303.6,Clerk#000000072,42763.0,,,,,,,49.0,,,A,,,1992-06-19,,,,
1064193.0,O,41190.32,Clerk#000000786,124648.0,,,,,,,,,,,,,1997-03-25,TAKE BACK RETURN,,,
1061664.0,F,332140.42,Clerk#000000338,,,,,,,,,,,,,,,,,,
1046727.0,O,275960.66,Clerk#000000639,,,,,,,,,,,,,,,,,,
1100451.0,F,334168.43,Clerk#000000518,139531.0,,,,,,,50.0,,0.08,,F,,,NONE,,,
1038017.0,O,173802.95,Clerk#000000039,114541.0,,,,,,,,,,,,,,,,,
1005476.0,O,14401.69,Clerk#000000224,,,,,,,1.0,,,,N,O,1998-03-07,1998-01-24,,,,
1055587.0,F,93106.62,Clerk#000000631,,,,,,,4.0,15.0,,0.02,,F,,1995-03-20,,,,
1053190.0,O,143533.75,Clerk#000000535,,,,,,,2.0,23.0,,,,O,1996-08-17,1996-08-15,,,,
1120582.0,O,154491.91,Clerk#000000980,75019.0,,,,,,,33.0,,,N,,1995-07-22,1995-08-18,DELIVER IN PERSON,,,
1104325.0,O,42031.72,Clerk#000000147,,,,,,,,,,,,,,,,,,
1043968.0,F,106220.1,Clerk#000000470,,,,,,,,,,,,,,,,,,
1091170.0,O,56861.21,Clerk#000000275,,,,,,,1.0,,,,,O,1997-02-27,,DELIVER IN PERSON,,,
1168068.0,F,159185.55,Clerk#000000748,,,,,,,1.0,,,0.01,,F,,1992-10-28,COLLECT COD,,,
1048516.0,F,295459.76,Clerk#000000913,130324.0,,,,,,4.0,42.0,,0.08,,,1994-10-18,1994-12-06,DELIVER IN PERSON,,,
1043968.0,F,106220.1,Clerk#000000470,,,,,,,,,,0.09,,,1994-06-27,1994-08-13,DELIVER IN PERSON,,,
112900.0,O,238348.05,Clerk#000000482,20785.0,,,,,,,39.0,,,N,,1998-05-03,1998-05-15,DELIVER IN PERSON,,,
1068898.0,O,245834.9,Clerk#000000626,102181.0,,,,,,5.0,46.0,,0.03,,O,,,DELIVER IN PERSON,,,
1113793.0,O,142239.62,Clerk#000000532,143771.0,,,,,,3.0,11.0,,0.02,N,,,,,,,
1117697.0,F,304065.98,Clerk#000000298,,,,,,,2.0,27.0,,0.1,,,1992-07-11,1992-09-07,,,,
1156930.0,F,82219.01,Clerk#000000295,,,,,,,3.0,4.0,,,,F,,,TAKE BACK RETURN,,,
1023654.0,O,75774.06,Clerk#000000393,,,,,,,2.0,,,,N,O,1997-01-02,1997-03-05,,,,
1061316.0,P,230133.92,Clerk#000000152,67855.0,,,,,,,44.0,,0.01,,,1995-07-18,,,,,
1048451.0,F,306617.82,Clerk#000000567,,,,,,,,39.0,,,R,,,,,,,
1145798.0,O,205189.59,Clerk#000000738,,,,,,,,28.0,,0.08,,O,,1996-09-28,,,,
1129891.0,F,161213.16,Clerk#000000788,148108.0,,,,,,,29.0,,,,F,1992-09-30,,,,,
1087843.0,F,143515.65,Clerk#000000806,,,,,,,4.0,,,,,,,,TAKE BACK RETURN,,,
1040865.0,F,329923.05,Clerk#000000476,,,,,,,4.0,,,0.04,,F,1994-12-04,1994-12-12,TAKE BACK RETURN,,,
1008864.0,F,182460.87,Clerk#000000850,92626.0,,,,,,,,,0.08,,F,,,NONE,,,
1113061.0,F,132850.2,Clerk#000000270,100996.0,,,,,,,,,0.07,,F,,,TAKE BACK RETURN,,,
1061664.0,F,332140.42,Clerk#000000338,,,,,,,,34.0,,0.01,,,,,NONE,,,
112487.0,O,147323.0,Clerk#000000709,67946.0,,,,,,,,,0.0,,,1998-02-07,,DELIVER IN PERSON,,,
105316.0,F,75633.33,Clerk#000000944,145393.0,,,,,,,,,,,F,1993-04-15,,,,,
1115045.0,F,146223.87,Clerk#000000360,,,,,,,1.0,19.0,,0.06,,F,1994-11-08,1994-10-20,DELIVER IN PERSON,,,
1152807.0,O,167341.23,Clerk#000000269,,,,,,,1.0,,,,N,O,,,,,,
1147236.0,O,83544.86,Clerk#000000470,61628.0,,,,,,,,,,,O,1997-12-02,,NONE,,,
1005476.0,O,14401.69,Clerk#000000224,31319.0,,,,,,,,,,,,,,,,,
110279.0,O,219164.3,Clerk#000000686,91778.0,,,,,,,29.0,,,,O,,,TAKE BACK RETURN,,,
107814.0,O,212248.5,Clerk#000000331,,,,,,,,43.0,,,,O,,1995-12-25,TAKE BACK RETURN,,,
1109346.0,F,174385.15,Clerk#000000729,,,,,,,,,,,,,,,,,,
1134177.0,F,47694.63,Clerk#000000393,72955.0,,,,,,,,,,,,,,,,,
1017056.0,O,50498.48,Clerk#000000614,104176.0,,,,,,2.0,6.0,,0.05,N,,,1998-01-26,NONE,,,
1103974.0,F,218662.14,Clerk#000000644,71701.0,,,,,,6.0,12.0,,0.02,,F,1993-09-02,,TAKE BACK RETURN,,,
1145957.0,O,195863.41,Clerk#000000008,99577.0,,,,,,5.0,1.0,,,N,O,,1996-11-04,,,,
108000.0,F,170292.68,Clerk#000000371,,,,,,,,26.0,,0.07,,F,1995-05-11,1995-03-08,NONE,,,
1165926.0,O,204532.53,Clerk#000000625,18985.0,,,,,,3.0,,,,,O,,,,,,
1134177.0,F,47694.63,Clerk#000000393,,,,,,,,,,,,,,,,,,
1118466.0,F,341563.05,Clerk#000000096,60958.0,,,,,,3.0,50.0,,,R,,1994-10-26,1994-10-11,DELIVER IN PERSON,,,
1060325.0,O,186648.7,Clerk#000000761,94354.0,,,,,,,,,,N,O,,,NONE,,,
1093031.0,F,305874.46,Clerk#000000815,,,,,,,,,,0.06,,F,1993-07-24,,,,,
116199.0,F,297297.3,Clerk#000000187,87491.0,,,,,,7.0,,,0.01,,,,1994-01-31,NONE,,,
1083490.0,F,243246.32,Clerk#000000845,,,,,,,5.0,,,0.07,A,F,1995-02-04,,,,,
1143332.0,O,138235.07,Clerk#000000683,,,,,,,,,,,,,,,,,,
1011778.0,F,286468.77,Clerk#000000144,,,,,,,,37.0,,,,F,,1992-09-12,,,,
1088642.0,F,144047.59,Clerk#000000674,92923.0,,,,,,4.0,,,0.01,R,,1993-09-23,,,,,
1102946.0,F,248551.7,Clerk#000000426,,,,,,,5.0,,,0.07,,F,,,DELIVER IN PERSON,,,
1088838.0,O,196672.4,Clerk#000000202,,,,,,,,,,,,,,,,,,
1041572.0,O,78178.49,Clerk#000000278,,,,,,,,,,0.04,N,O,1996-01-07,1996-01-12,,,,
1050695.0,O,246582.54,Clerk#000000625,119974.0,,,,,,,,,,,O,1996-10-22,1996-11-15,DELIVER IN PERSON,,,
105474.0,O,264231.7,Clerk#000000510,,,,,,,,,,,,,,,,,,
1009765.0,O,203200.67,Clerk#000000044,40933.0,,,,,,,,,,,,,,,,,
1009888.0,O,53132.76,Clerk#000000581,1301.0,,,,,,1.0,3.0,,,,,1995-08-01,,NONE,,,
1082561.0,F,198650.47,Clerk#000000155,114928.0,,,,,,,,,,,,,,,,,
1115045.0,F,146223.87,Clerk#000000360,67945.0,,,,,,,,,,,,,,,,,
1008546.0,O,163852.83,Clerk#000000832,,,,,,,2.0,30.0,,,N,O,1998-04-22,1998-06-29,,,,
1060576.0,F,100802.51,Clerk#000000619,,,,,,,2.0,19.0,,0.08,R,,,,,,,
1156289.0,F,165884.57,Clerk#000000128,202.0,,,,,,,,,0.03,R,,,1993-01-29,,,,
1083490.0,F,243246.32,Clerk#000000845,,,,,,,,,,,,F,,,DELIVER IN PERSON,,,
1032899.0,O,143173.25,Clerk#000000350,142702.0,,,,,,,,,,,,,,,,,
1102946.0,F,248551.7,Clerk#000000426,30905.0,,,,,,2.0,,,0.0,A,F,,1992-07-28,TAKE BACK RETURN,,,
1138306.0,P,76894.63,Clerk#000000334,8462.0,,,,,,,10.0,,,,,,,,,,
1074081.0,O,189072.82,Clerk#000000903,,,,,,,,,,,N,O,,1996-05-06,,,,
103011.0,F,133406.97,Clerk#000000361,,,,,,,,15.0,,,A,,1993-09-05,1993-08-28,COLLECT COD,,,
1118466.0,F,341563.05,Clerk#000000096,,,,,,,,,,0.05,A,,1994-10-28,,DELIVER IN PERSON,,,
1088642.0,F,144047.59,Clerk#000000674,,,,,,,,,,,,,,,,,,
1169958.0,O,128938.81,Clerk#000000181,,,,,,,,,,,,,,,,,,
1045666.0,O,64644.64,Clerk#000000797,55273.0,,,,,,,,,0.08,N,O,1997-01-29,1997-03-08,DELIVER IN PERSON,,,
1113793.0,O,142239.62,Clerk#000000532,,,,,,,,,,,,,,,,,,
1030726.0,O,207428.88,Clerk#000000658,102076.0,,,,,,,,,,,,,,,,,
1055815.0,O,358976.05,Clerk#000000852,,,,,,,1.0,37.0,,,N,,1996-02-28,,DELIVER IN PERSON,,,
1157637.0,O,186577.19,Clerk#000000650,123085.0,,,,,,,,,,,,,,,,,
1035015.0,F,330804.32,Clerk#000000567,,,,,,,,26.0,,,A,,1994-10-31,1994-12-16,NONE,,,
1138306.0,P,76894.63,Clerk#000000334,,,,,,,,10.0,,,,,,,,,,
1160677.0,F,291786.81,Clerk#000000792,,,,,,,,49.0,,,R,,,1994-08-25,DELIVER IN PERSON,,,
1159906.0,O,221042.63,Clerk#000000280,62794.0,,,,,,,,,,,,,,,,,
1166275.0,O,240571.49,Clerk#000000131,,,,,,,4.0,,,,N,O,1998-05-07,1998-06-07,TAKE BACK RETURN,,,
1169924.0,F,229205.28,Clerk#000000848,11359.0,,,,,,5.0,3.0,,0.1,R,F,1993-03-26,1993-04-25,,,,
1102119.0,O,182606.15,Clerk#000000413,,,,,,,,,,,,,,,,,,
1164000.0,O,193863.07,Clerk#000000022,,,,,,,4.0,,,0.05,,,1997-04-21,1997-03-31,COLLECT COD,,,
1145798.0,O,205189.59,Clerk#000000738,,,,,,,,30.0,,0.01,,,1996-09-20,1996-09-17,NONE,,,
1094688.0,O,95742.86,Clerk#000000254,92048.0,,,,,,,,,,,,,,,,,
1166052.0,F,104740.15,Clerk#000000934,146965.0,,,,,,3.0,2.0,,,,,,1993-01-09,TAKE BACK RETURN,,,
1017091.0,F,384787.66,Clerk#000000240,87932.0,,,,,,,,,,,,,,,,,
1001987.0,F,172648.36,Clerk#000000871,6281.0,,,,,,,15.0,,,A,,,,,,,
1086818.0,F,39996.69,Clerk#000000529,75103.0,,,,,,2.0,19.0,,0.01,A,,,1993-06-16,,,,
1052258.0,F,280206.83,Clerk#000000008,,,,,,,3.0,29.0,,,,F,1992-04-25,,,,,
1017216.0,F,122931.47,Clerk#000000531,113197.0,,,,,,,30.0,,0.08,,,,,,,,
1163013.0,O,193210.2,Clerk#000000369,,,,,,,,34.0,,0.0,,O,1997-02-17,1997-04-30,,,,
1040865.0,F,329923.05,Clerk#000000476,,,,,,,2.0,49.0,,,,F,,1994-11-22,,,,
1040678.0,F,116341.44,Clerk#000000381,,,,,,,1.0,,,,,F,,,,,,
1168068.0,F,159185.55,Clerk#000000748,61739.0,,,,,,1.0,,,0.01,,F,,1992-10-28,COLLECT COD,,,
1008864.0,F,182460.87,Clerk#000000850,,,,,,,,5.0,,0.08,,F,,1993-07-17,COLLECT COD,,,
1102946.0,F,248551.7,Clerk#000000426,30905.0,,,,,,5.0,,,0.07,,F,,,DELIVER IN PERSON,,,
1001024.0,F,334614.37,Clerk#000000015,,,,,,,,,,,,,,,,,,
10981.0,F,266554.94,Clerk#000000341,,,,,,,3.0,25.0,,,R,F,,1993-08-11,TAKE BACK RETURN,,,
1117697.0,F,304065.98,Clerk#000000298,,,,,,,3.0,34.0,,0.07,A,F,,1992-08-03,,,,
1104224.0,F,212302.71,Clerk#000000740,8614.0,,,,,,3.0,,,0.03,A,F,,1995-03-09,DELIVER IN PERSON,,,
1025281.0,O,333633.87,Clerk#000000163,45959.0,,,,,,,,,,,O,1997-03-13,,,,,
1040865.0,F,329923.05,Clerk#000000476,,,,,,,3.0,,,0.09,,,,1994-12-12,NONE,,,
1160580.0,F,136127.5,Clerk#000000202,58826.0,,,,,,2.0,43.0,,0.01,,,,1994-06-29,,,,
1041088.0,F,145125.3,Clerk#000000993,51724.0,,,,,,,10.0,,,,F,1992-08-30,1992-09-25,DELIVER IN PERSON,,,
1020032.0,F,164717.03,Clerk#000000040,93227.0,,,,,,2.0,37.0,,,,,,1992-08-22,,,,
1029095.0,F,142363.62,Clerk#000000002,,,,,,,2.0,39.0,,0.09,,,1993-01-14,,,,,
1005925.0,O,234809.67,Clerk#000000025,77494.0,,,,,,5.0,38.0,,,,O,,,,,,
1176102.0,O,32310.61,Clerk#000000035,48367.0,,,,,,,,,0.07,N,O,1996-05-14,1996-04-12,DELIVER IN PERSON,,,
1025474.0,F,162793.07,Clerk#000000991,103744.0,,,,,,2.0,19.0,,,,,1995-02-05,1995-01-30,TAKE BACK RETURN,,,
1025474.0,F,162793.07,Clerk#000000991,103744.0,,,,,,,23.0,,,A,F,,1995-03-12,,,,
1068898.0,O,245834.9,Clerk#000000626,,,,,,,5.0,46.0,,0.03,,O,,,DELIVER IN PERSON,,,
1103171.0,O,227523.93,Clerk#000000914,,,,,,,,,,0.06,N,,,1998-06-11,,,,
1017638.0,O,259820.04,Clerk#000000445,,,,,,,5.0,,,,N,O,1996-12-29,1996-10-28,,,,
1005794.0,F,43608.15,Clerk#000000715,19556.0,,,,,,,,,,,,,,,,,
1144101.0,F,176026.13,Clerk#000000994,110776.0,,,,,,1.0,,,0.01,,F,,1994-07-25,,,,
111814.0,F,29608.72,Clerk#000000288,22555.0,,,,,,,,,,,,,,,,,
1128384.0,F,213016.58,Clerk#000000572,,,,,,,4.0,,,0.08,R,,1995-02-04,,DELIVER IN PERSON,,,
1032194.0,F,225771.04,Clerk#000000834,118840.0,,,,,,7.0,,,0.09,R,,1992-10-26,1992-08-26,TAKE BACK RETURN,,,
1031297.0,O,209052.86,Clerk#000000594,98407.0,,,,,,4.0,,,,,O,1998-02-16,,COLLECT COD,,,
104198.0,O,296416.84,Clerk#000000917,,,,,,,4.0,,,,,O,1996-03-10,1996-02-23,,,,
1143332.0,O,138235.07,Clerk#000000683,76426.0,,,,,,,,,,,,,,,,,
1168326.0,F,214401.83,Clerk#000000301,,,,,,,,,,0.05,,F,,,,,,
1077797.0,F,214020.32,Clerk#000000128,97819.0,,,,,,,9.0,,,R,,,,,,,
1138306.0,P,76894.63,Clerk#000000334,,,,,,,3.0,4.0,,,,,,,,,,
1003264.0,F,273846.15,Clerk#000000512,78100.0,,,,,,4.0,18.0,,0.04,,F,1994-11-29,,TAKE BACK RETURN,,,
1119490.0,F,75259.01,Clerk#000000865,,,,,,,3.0,,,,R,,1993-04-28,1993-03-15,NONE,,,
1051492.0,F,141755.87,Clerk#000000714,,,,,,,,29.0,,0.02,,,,,DELIVER IN PERSON,,,
1040865.0,F,329923.05,Clerk#000000476,142003.0,,,,,,1.0,,,0.01,,,1995-01-01,,,,,
1163106.0,O,154708.99,Clerk#000000486,,,,,,,,,,,,,,,,,,
1024452.0,O,149366.83,Clerk#000000319,39016.0,,,,,,2.0,,,,,,1996-05-30,1996-05-20,,,,
1112037.0,F,15985.32,Clerk#000000055,133373.0,,,,,,,6.0,,,,F,,1992-10-05,DELIVER IN PERSON,,,
1045026.0,O,84169.95,Clerk#000000438,,,,,,,,,,,,,,,,,,
1160677.0,F,291786.81,Clerk#000000792,43222.0,,,,,,5.0,,,,,F,1994-08-30,1994-07-29,,,,
1012867.0,O,112763.01,Clerk#000000007,13192.0,,,,,,,,,,,,,,,,,
